STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
8,Colorado,7783,2,3,GB,Unbound (granular) base,,Crushed Gravel,304,5.9,5,Base Layer,100,100,100,100,99.5,85,74,51.5,39.5,22.5,13,8.300000191,,,,A-1-a,502,2.686000109,137,6,14.10000038,964.006002,0.607900023,-0.1171,0.349999994,0.05054
8,Colorado,7783,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,100,100,100,100,100,99,98,97,95,93,87,72.5,29,17,12,A-6,512,2.719000101,118,13,2.900000095,238.775557,0.109499998,-2.41869998,0.349999994,0.0000195
8,Colorado,7783,3,2,GS,Unbound (granular) subbase,,Gravel (Uncrushed),302,16.3,6,Subbase Layer,100,89.5,76,70,62.5,53.5,46,39.5,32.5,21.5,12,8.100000381,,,,A-1-a,502,2.686000109,134,7,11.19999981,964.006002,0.607900023,-0.1171,0.349999994,0.05054
8,Colorado,7783,3,3,GB,Unbound (granular) base,,Crushed Gravel,304,5.9,5,Base Layer,100,100,100,100,99.5,85,74,51.5,39.5,22.5,13,8.300000191,,,,A-1-a,502,2.686000109,137,6,11.19999981,964.006002,0.607900023,-0.1171,0.349999994,0.05054
8,Colorado,9019,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand with Gravel,217,,7,Subgrade,100,100,100,99,96.5,88.5,82.5,59.5,56.5,50,46.5,27.29999924,26,16,10,A-2-4,506,2.694000006,120,12,7.099999905,572.633817,0.344399989,-1.018599987,0.349999994,0.0005854
8,Colorado,9019,1,2,GB,Unbound (granular) base,,Crushed Gravel,304,7.2,5,Base Layer,100,100,98,94.5,86.5,77,72,57.5,45.5,19,10.5,6.900000095,,,,A-1-a,502,2.686000109,136,8,7.5,687.3912,0.746599972,-0.197600007,0.349999994,0.05054
8,Colorado,9020,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,100,100,100,99,99,97,96,92,89,78,69,53.70000076,25,17,8,A-4,510,2.710000038,121,10,13.69999981,1007.577804,0.160600007,-0.776899993,0.349999994,0.0000083
8,Colorado,9020,1,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,15.6,5,Base Layer,100,93,91.5,84.5,78,68.5,63.5,51,43.5,23.5,16,11.19999981,,,,A-1-a,502,2.686000109,138,6,11.19999981,964.006002,0.607900023,-0.1171,0.349999994,0.05054
8,Colorado,9020,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,100,100,100,99,99,97,96,92,89,78,69,53.70000076,25,17,8,A-4,510,2.710000038,121,10,13.69999981,1007.577804,0.160600007,-0.776899993,0.349999994,0.0000083
8,Colorado,9020,2,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,15.6,5,Base Layer,100,93,91.5,84.5,78,68.5,63.5,51,43.5,23.5,16,11.19999981,,,,A-1-a,502,2.686000109,138,6,11.19999981,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,1803,1,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Well-Graded Sand with Silt and Gravel,211,,7,Subgrade,100,100,100,97.5,96.5,93.5,92,88.5,85.5,73.5,64,54.29999924,24,20,4,A-4,510,2.710000038,111,16,5.599999905,625.741696,0.754700005,-2.556799889,0.349999994,0.0000083
9,Connecticut,1803,1,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,11.8,5,Base Layer,93.30000305,91.69999695,87,79,74,67,62,53.70000076,45,27.70000076,15.69999981,8.699999809,,,,A-1-a,502,2.686000109,138,6,14,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,1803,2,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Well-Graded Sand with Silt and Gravel,211,,7,Subgrade,100,100,100,97.5,96.5,93.5,92,88.5,85.5,73.5,64,54.29999924,24,20,4,A-4,510,2.710000038,111,16,5.599999905,625.741696,0.754700005,-2.556799889,0.349999994,0.0000083
9,Connecticut,1803,2,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,11.8,5,Base Layer,93.30000305,91.69999695,87,79,74,67,62,53.70000076,45,27.70000076,15.69999981,8.699999809,,,,A-1-a,502,2.686000109,138,6,14,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,1803,3,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Well-Graded Sand with Silt and Gravel,211,,7,Subgrade,100,100,100,97.5,96.5,93.5,92,88.5,85.5,73.5,64,54.29999924,24,20,4,A-4,510,2.710000038,111,16,5.599999905,625.741696,0.754700005,-2.556799889,0.349999994,0.0000083
9,Connecticut,1803,3,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,11.8,5,Base Layer,93.30000305,91.69999695,87,79,74,67,62,53.70000076,45,27.70000076,15.69999981,8.699999809,,,,A-1-a,502,2.686000109,138,6,14,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,1803,4,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Well-Graded Sand with Silt and Gravel,211,,7,Subgrade,100,100,100,97.5,96.5,93.5,92,88.5,85.5,73.5,64,54.29999924,24,20,4,A-4,510,2.710000038,111,16,5.599999905,625.741696,0.754700005,-2.556799889,0.349999994,0.0000083
9,Connecticut,1803,4,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,11.8,5,Base Layer,93.30000305,91.69999695,87,79,74,67,62,53.70000076,45,27.70000076,15.69999981,8.699999809,,,,A-1-a,502,2.686000109,138,6,11.10000038,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,4008,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand with Gravel,215,,7,Subgrade,100,99,99,97,95,92.5,90.5,86.5,81,59,39,23.60000038,,,,A-2-4,506,2.673000097,124,10,6.599999905,606.2931,0.557299972,-0.465600014,0.349999994,0.0005854
9,Connecticut,4008,1,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,9.7,5,Base Layer,100,100,97.5,80,69,57,50.5,40.5,30.5,19.5,14.5,10,,,,A-1-a,502,2.686000109,148,6,11.10000038,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,4008,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand with Gravel,215,,7,Subgrade,100,99,99,97,95,92.5,90.5,86.5,81,59,39,23.60000038,,,,A-2-4,506,2.673000097,124,10,6.599999905,606.2931,0.557299972,-0.465600014,0.349999994,0.0005854
9,Connecticut,4008,2,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,9.7,5,Base Layer,100,100,97.5,80,69,57,50.5,40.5,30.5,19.5,14.5,10,,,,A-1-a,502,2.686000109,148,6,11.10000038,964.006002,0.607900023,-0.1171,0.349999994,0.05054
9,Connecticut,4008,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand with Gravel,215,,7,Subgrade,100,99,99,97,95,92.5,90.5,86.5,81,59,39,23.60000038,,,,A-2-4,506,2.673000097,124,10,6.599999905,606.2931,0.557299972,-0.465600014,0.349999994,0.0005854
9,Connecticut,4008,3,2,GB,Unbound (granular) base,,Gravel (Uncrushed),302,9.7,5,Base Layer,100,100,97.5,80,69,57,50.5,40.5,30.5,19.5,14.5,10,,,,A-1-a,502,2.686000109,148,6,11.10000038,964.006002,0.607900023,-0.1171,0.349999994,0.05054
